"KEGG_Pathways","n","Proportion","Percentage"
"Pathways of neurodegeneration - multiple diseases",26,0.0279,"2.8%"
"Alzheimer disease",22,0.0236,"2.4%"
"Human papillomavirus infection",17,0.0183,"1.8%"
"Lipid and atherosclerosis",17,0.0183,"1.8%"
"Efferocytosis",16,0.0172,"1.7%"
"Human T-cell leukemia virus 1 infection",16,0.0172,"1.7%"
"Diabetic cardiomyopathy",15,0.0161,"1.6%"
"PI3K-Akt signaling pathway",15,0.0161,"1.6%"
"AMPK signaling pathway",13,0.014,"1.4%"
"Alcoholic liver disease",13,0.014,"1.4%"
"Amyotrophic lateral sclerosis",13,0.014,"1.4%"
"Apoptosis",13,0.014,"1.4%"
"Huntington disease",13,0.014,"1.4%"
"cAMP signaling pathway",13,0.014,"1.4%"
"AGE-RAGE signaling pathway in diabetic complications",12,0.0129,"1.3%"
"Autophagy - animal",12,0.0129,"1.3%"
"Epstein-Barr virus infection",12,0.0129,"1.3%"
"IgSF CAM signaling",12,0.0129,"1.3%"
"Shigellosis",12,0.0129,"1.3%"
"T cell receptor signaling pathway",12,0.0129,"1.3%"
"Adrenergic signaling in cardiomyocytes",11,0.0118,"1.2%"
"Cushing syndrome",11,0.0118,"1.2%"
"MAPK signaling pathway",11,0.0118,"1.2%"
"Cytoskeleton in muscle cells",10,0.0107,"1.1%"
"Hepatitis B",10,0.0107,"1.1%"
"Herpes simplex virus 1 infection",10,0.0107,"1.1%"
"Salmonella infection",10,0.0107,"1.1%"
"TNF signaling pathway",10,0.0107,"1.1%"
"Thermogenesis",10,0.0107,"1.1%"
"ATP-dependent chromatin remodeling",9,0.0097,"1%"
